0.704624, 0.707145, 0.701746, 0.665772, 0.490361, 0.256557, 0.099251, 0.023657, 0.005490, 0.001136, 0.000068, 0.000001, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,
0.685373, 0.700028, 0.695946, 0.663077, 0.531651, 0.314950, 0.143023, 0.049468, 0.013147, 0.003148, 0.000249, 0.000050, 0.000001, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,
0.648951, 0.671510, 0.688224, 0.662495, 0.594064, 0.417641, 0.232069, 0.104966, 0.034698, 0.012978, 0.002902, 0.000343, 0.000111, 0.000003, 0.000001, 0.000001, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,
0.577986, 0.606867, 0.647392, 0.660621, 0.631638, 0.544540, 0.392746, 0.237786, 0.121060, 0.045454, 0.020298, 0.004880, 0.000517, 0.000198, 0.000029, 0.000002, 0.000002, 0.000001, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,
0.410382, 0.477500, 0.536912, 0.610082, 0.633357, 0.609787, 0.526557, 0.408364, 0.265130, 0.144870, 0.057585, 0.027225, 0.008103, 0.000880, 0.000306, 0.000054, 0.000006, 0.000003, 0.000002, 0.000001, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,
0.188922, 0.251312, 0.351574, 0.444074, 0.529199, 0.553461, 0.552400, 0.482564, 0.387239, 0.278177, 0.161394, 0.074217, 0.034353, 0.011502, 0.002424, 0.000433, 0.000077, 0.000015, 0.000005, 0.000004, 0.000003, 0.000001, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,
0.047123, 0.090726, 0.160621, 0.254496, 0.343582, 0.432343, 0.460563, 0.484193, 0.433622, 0.358513, 0.274342, 0.173651, 0.088572, 0.043982, 0.015056, 0.004003, 0.000995, 0.000095, 0.000027, 0.000016, 0.000008, 0.000005, 0.000002, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,
0.014370, 0.019956, 0.045015, 0.095192, 0.156798, 0.235048, 0.323318, 0.357069, 0.394946, 0.380271, 0.322830, 0.254579, 0.177411, 0.094652, 0.049392, 0.016077, 0.004752, 0.001538, 0.000127, 0.000042, 0.000029, 0.000017, 0.000008, 0.000004, 0.000001, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,
0.003601, 0.005193, 0.008682, 0.022491, 0.049429, 0.094607, 0.162348, 0.234162, 0.273420, 0.315506, 0.315262, 0.280460, 0.223467, 0.159542, 0.092662, 0.050209, 0.018423, 0.005103, 0.001864, 0.000197, 0.000059, 0.000044, 0.000031, 0.000013, 0.000006, 0.000002, 0.000001, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,
0.001934, 0.002287, 0.002863, 0.004185, 0.013510, 0.031438, 0.065372, 0.114483, 0.162249, 0.198747, 0.239251, 0.242263, 0.235081, 0.188715, 0.136155, 0.086571, 0.048125, 0.018490, 0.005456, 0.001993, 0.000232, 0.000080, 0.000059, 0.000043, 0.000023, 0.000008, 0.000003, 0.000001, 0.000000, 0.000000, 0.000000, 0.000000,
